=== 구분코드 ===
구분코드 | 구분명
01 | 소매
02 | 중도매
03 | 친환경농산물
07 | 친환경농산물(신규)

=== 부류코드 ===
부류코드 | 부류명
100 | 식량작물
200 | 채소류
300 | 특용작물
400 | 과일류
500 | 축산물
600 | 수산물

=== 품목코드 ===
부류코드 | 품목코드 | 품목명
200 | 244 | 07 | 햇난지1접
200 | 244 | 08 | 쪽마늘
200 | 244 | 11 | 햇한지
200 | 244 | 12 | 햇난지
200 | 244 | 21 | 햇난지(대서)
200 | 244 | 22 | 난지(대서)
200 | 244 | 23 | 햇난지(남도)
200 | 244 | 24 | 난지(남도)
200 | 245 | 00 | 양파
200 | 245 | 02 | 햇양파
200 | 245 | 10 | 수입
200 | 246 | 00 | 대파
200 | 246 | 02 | 쪽파
200 | 247 | 00 | 국산
200 | 247 | 01 | 수입
200 | 248 | 00 | 국산
200 | 248 | 01 | 중국
200 | 251 | 00 | 가지
200 | 252 | 00 | 미나리
200 | 253 | 00 | 깻잎
200 | 254 | 00 | 부추
200 | 255 | 00 | 청
200 | 256 | 00 | 파프리카
200 | 257 | 00 | 멜론
200 | 258 | 01 | 깐마늘(국산)
200 | 258 | 03 | 깐마늘(대서)
200 | 258 | 04 | 햇깐마늘(대서)
200 | 258 | 05 | 깐마늘(남도)
200 | 258 | 06 | 햇깐마늘(남도)
200 | 259 | 01 | 깐마늘(수입)
200 | 259 | 03 | 깐마늘(수입산)
200 | 261 | 01 | 브로콜리
200 | 262 | 01 | 양상추
200 | 263 | 01 | 청경채
200 | 264 | 01 | 케일
200 | 265 | 01 | 콩나물
200 | 266 | 01 | 봄
200 | 266 | 02 | 여름(고랭지)
200 | 266 | 03 | 가을
200 | 266 | 04 | 월동
200 | 279 | 00 | 알배기배추
200 | 280 | 00 | 브로콜리(국산)
200 | 422 | 01 | 방울토마토
200 | 422 | 02 | 대추방울토마토
300 | 312 | 01 | 백색(국산)
300 | 312 | 02 | 중국
300 | 312 | 03 | 인도
300 | 313 | 01 | 국산
300 | 313 | 02 | 수입
300 | 314 | 01 | 국산
300 | 314 | 02 | 수입
300 | 315 | 00 | 느타리버섯
300 | 315 | 01 | 애느타리버섯
300 | 316 | 00 | 팽이버섯
300 | 317 | 00 | 새송이버섯
300 | 318 | 00 | 수입
300 | 319 | 00 | 수입
300 | 321 | 01 | 양송이버섯
300 | 322 | 01 | 표고버섯
300 | 351 | 01 | 중.대륜
300 | 351 | 02 | 소륜
300 | 351 | 03 | 스프레이
300 | 351 | 04 | 스프레이소국
300 | 352 | 01 | 중.대륜
300 | 352 | 02 | 스프레이
300 | 353 | 01 | 쏘니아
300 | 353 | 02 | 마르데보아
300 | 353 | 06 | 달라스
300 | 353 | 07 | 마리나
300 | 353 | 08 | 산드라
300 | 353 | 11 | 노블레스
300 | 353 | 12 | 레드칼립소
300 | 353 | 13 | 비탈
300 | 353 | 14 | 환희
300 | 353 | 15 | 사피아
300 | 353 | 16 | 아쿠아
300 | 354 | 01 | 나팔합외대
300 | 354 | 02 | 나팔합쌍대
300 | 354 | 03 | 틈나리외대
300 | 354 | 04 | 틈나리쌍대
300 | 355 | 01 | 헌팅송
300 | 355 | 02 | 스픽앤드스판
300 | 355 | 03 | 화이트
300 | 356 | 01 | 레드마타온
300 | 356 | 02 | 골든옥스포드
